value,date,
314422.341,01/08/2012,
314646.749,01/09/2012,
314853.978,01/10/2012,
315053.863,01/11/2012,
315232.752,01/12/2012,
315389.595,01/01/2013,
315520.143,01/02/2013,
315662.224,01/03/2013,
315817.855,01/04/2013,
315983.654,01/05/2013,
316171.042,01/06/2013,
316358.778,01/07/2013,
316580.327,01/08/2013,
316806.125,01/09/2013,
317022.27,01/10/2013,
317228.026,01/11/2013,
317411.551,01/12/2013,
317593.923,01/01/2014,
317753.883,01/02/2014,
317917.203,01/03/2014,
318089.218,01/04/2014,
318269.505,01/05/2014,
318464.152,01/06/2014,
318662.368,01/07/2014,
318893.786,01/08/2014,
319125.296,01/09/2014,
319353.734,01/10/2014,
319564.209,01/11/2014,
319746.157,01/12/2014,
319928.646,01/01/2015,
320074.511,01/02/2015,
320230.786,01/03/2015,
320402.295,01/04/2015,
320583.972,01/05/2015,
320773.558,01/06/2015,
320978.213,01/07/2015,
321202.45,01/08/2015,
321427.611,01/09/2015,
321653.019,01/10/2015,
321856.265,01/11/2015,
322043.071,01/12/2015,
322232.862,01/01/2016,
322398.098,01/02/2016,
322551.468,01/03/2016,
322721.212,01/04/2016,
322899.995,01/05/2016,
323088.466,01/06/2016,
323291.042,01/07/2016,
323501.361,01/08/2016,
323709.851,01/09/2016,
323919.726,01/10/2016,
324106.527,01/11/2016,
324274.912,01/12/2016,
324438.195,01/01/2017,
324581.497,01/02/2017,
324713.97,01/03/2017,
324861.757,01/04/2017,
325019.199,01/05/2017,
325186.237,01/06/2017,
325367.612,01/07/2017,
325567.716,01/08/2017,
325766.019,01/09/2017,
325965.952,01/10/2017,
326142.633,01/11/2017,
326301.399,01/12/2017,
326454.123,01/01/2018,
326600.823,01/02/2018,
326736.69,01/03/2018,
326887.866,01/04/2018,
327048.704,01/05/2018,
327219.14,01/06/2018,
327403.909,01/07/2018,
327600.25,01/08/2018,
327794.788,01/09/2018,
327990.95,01/10/2018,
328163.864,01/11/2018,
328318.861,01/12/2018,
328467.812,01/01/2019,
328610.744,01/02/2019,
328742.843,01/03/2019,
328890.25,01/04/2019,
329047.319,01/05/2019,
329213.989,01/06/2019,
329394.993,01/07/2019,
329591.333,01/08/2019,
329785.872,01/09/2019,
329982.035,01/10/2019,
330154.949,01/11/2019,
330309.946,01/12/2019,
